 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.610374167E0,-2.856284739E0,1.437731745E1,-2.328217285E0
3.635212167E0,-4.017943472E-1,3.868978052E0,-4.578074864E0
3.660044167E0,9.826631820E-1,-4.366817594E-2,-4.817649615E-1
3.684883167E0,1.591270038E0,-9.844443901E-1,-4.902267596E-1
3.709716167E0,-4.507127380E-1,1.072805174E0,-1.144210933E0
3.734554167E0,-1.362704133E0,1.302481905E0,-1.901516577E0
3.759387167E0,-6.218104541E-1,-2.121127179E-1,-6.682958186E-1
3.784225167E0,2.261311251E-1,-3.750567842E-1,-7.927982426E-1
3.809057167E0,-7.283449692E-1,3.567710790E-1,-7.568214941E-1
3.833896167E0,-5.308938521E-1,5.177453645E-3,1.366742805E-1
3.858729167E0,-2.132543868E-1,-1.028932711E-2,-2.219986054E-1
3.883567167E0,-7.976999635E-1,-7.184318921E-1,9.704653054E-2
3.908400167E0,-3.802198756E-1,-1.428428299E0,1.584528199E-1
3.933238167E0,-4.417612356E-1,-6.134565371E-1,3.425065041E-2
3.958070167E0,-2.621868110E-1,-1.050505209E0,3.332222950E-1
3.982909167E0,-1.705416459E-1,-1.497454387E0,6.792409292E-1
4.007741167E0,-5.970311236E-1,-2.060889310E0,3.855750480E-1
4.032580167E0,2.058564895E-1,-3.133676065E0,3.912684819E-1
4.057413167E0,8.861771071E-1,-2.927964002E0,2.794931075E-1
4.082251167E0,2.690467644E-1,-3.558295603E0,4.339423388E-2
4.107083167E0,6.032075375E-1,-3.241655720E0,7.254353946E-1
4.131922167E0,1.419209286E0,-3.358820765E0,1.011848974E-1
4.156754167E0,1.072201595E0,-4.365930279E0,1.199495480E0
4.181593167E0,1.794994633E0,-7.124717082E0,2.474028571E0
4.206425167E0,2.755490436E0,-8.631659161E0,2.314905953E0
4.231264167E0,2.039833925E0,-6.330488026E0,5.749349635E0
4.256096167E0,2.785303634E-1,-2.145042437E0,1.160434033E0
4.280935167E0,2.874989398E0,6.436343826E-1,-4.069663556E-1
4.305767167E0,5.631558645E0,1.377467475E0,-2.089249768E0
4.330606167E0,2.847389955E0,4.511445184E-1,-1.339769160E0
4.355438167E0,2.168657441E0,-1.403324740E0,1.185346826E-1
4.380277167E0,2.765848778E0,1.797909178E-1,-9.620586904E-1
4.405109167E0,2.062932181E0,2.484647992E0,-2.339782054E0
