"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.600946210E0,9.684949875E0,5.958128572E-1,-5.201398134E-1
4.625946210E0,9.750752449E0,4.891826808E-1,-5.021936297E-1
4.650946210E0,9.813115120E0,5.838487148E-1,-5.775675774E-1
4.675946210E0,9.722038269E0,6.687939167E-1,-4.842474759E-1
4.700946210E0,9.744770050E0,6.317051649E-1,-3.297608793E-1
4.725946210E0,9.753145218E0,8.699405789E-1,-4.160520434E-1
4.750946210E0,9.659825325E0,8.448159695E-1,-4.758726060E-1
4.775946210E0,9.681360245E0,8.663513660E-1,-4.447658956E-1
4.800946210E0,9.645467758E0,9.465109110E-1,-3.562314808E-1
4.825946210E0,9.589237213E0,7.680960894E-1,-4.938187599E-1
4.850946210E0,9.531808853E0,9.824032187E-1,-4.316053987E-1
4.875946210E0,9.914810181E0,1.252941728E0,-5.261218548E-1
4.900946210E0,9.720842361E0,1.430160165E0,-6.530910134E-1
4.925946210E0,9.527023315E0,1.493569970E0,-5.656034350E-1
4.950946210E0,9.550951958E0,1.411017656E0,-6.231807470E-1
4.975946210E0,9.757930756E0,1.470838189E0,-6.435197592E-1
5.000946210E0,9.743574142E0,1.399053454E0,-6.578766704E-1
5.025946210E0,9.649057388E0,1.500748396E0,-6.506981850E-1
5.050946210E0,9.481410027E0,1.729412556E0,-5.883352757E-1
5.075946210E0,9.704092026E0,1.463659644E0,-6.686443686E-1
5.100946210E0,9.769894600E0,1.299601793E0,-5.823532343E-1
5.125946210E0,9.421589851E0,1.543819308E0,-6.399304867E-1
5.150946210E0,9.463463783E0,8.998508453E-1,-8.205885887E-1
5.175946210E0,1.016740227E1,3.815056682E-1,-3.813561201E-1
5.200946210E0,1.001530838E1,3.145066202E-1,-1.383350641E-1
5.225946210E0,9.756733894E0,3.180958629E-1,1.794616925E-3
5.250946210E0,9.714859962E0,3.492025435E-1,-1.060319543E-1
5.275946210E0,9.507731438E0,5.706881881E-1,-2.424228489E-1
5.300946210E0,9.371340752E0,9.249755144E-1,-3.957130313E-1
5.325946210E0,9.622735977E0,1.339083314E0,-4.806582630E-1
5.350946210E0,9.801151276E0,1.839482427E0,-6.447161436E-1
5.375946210E0,9.462267876E0,1.886142492E0,-5.691927075E-1
5.400946210E0,9.486195564E0,1.930409670E0,-4.878367186E-1
5.425946210E0,9.602396965E0,2.002343893E0,-4.806582630E-1
5.450946210E0,9.723235130E0,1.742573142E0,-5.644070506E-1
5.475946210E0,9.762716293E0,1.606032610E0,-4.914259613E-1
5.500946210E0,9.566504478E0,1.466052532E0,-4.507479668E-1
5.525946210E0,9.479017258E0,1.692323804E0,-5.727819204E-1
5.550946210E0,9.502945900E0,1.832303882E0,-6.363412738E-1
5.575946210E0,9.617950439E0,1.800000787E0,-6.985546350E-1
5.600946210E0,9.534201622E0,1.541426420E0,-6.219843626E-1
5.625946210E0,9.634700775E0,1.290030479E0,-4.962115884E-1
5.650946210E0,9.757930756E0,1.095015407E0,-5.584250093E-1
5.675946210E0,9.710074425E0,1.129711390E0,-5.225326419E-1
5.700946210E0,9.632308006E0,1.284048438E0,-5.464608669E-1
5.725946210E0,9.633503914E0,1.311565876E0,-5.416752100E-1
5.750946210E0,9.627521515E0,1.304387450E0,-4.579264224E-1
5.775946210E0,9.615557671E0,1.574925900E0,-3.933202326E-1
5.800946210E0,9.622735977E0,1.938934088E0,-3.382852972E-1
5.825946210E0,9.617950439E0,2.141127586E0,-4.100699723E-1
5.850946210E0,9.597611427E0,1.913659930E0,-4.088735580E-1
5.875946210E0,9.517452240E0,1.693520188E0,-4.040879309E-1
5.900946210E0,9.681360245E0,1.500748396E0,-4.950151742E-1
5.925946210E0,9.682557106E0,1.375125289E0,-5.117649436E-1
5.950946210E0,9.668199539E0,1.191924810E0,-5.285146832E-1
5.975946210E0,9.625128746E0,1.009920716E0,-5.237290859E-1
6.000946210E0,9.668199539E0,1.129711390E0,-4.938187599E-1
6.025946210E0,9.623932838E0,1.284048438E0,-5.464608669E-1
6.050946210E0,9.738788605E0,1.270887971E0,-4.280161560E-1
6.075946210E0,9.711270332E0,1.268495083E0,-4.292125702E-1
6.100946210E0,9.641879082E0,1.158425212E0,-4.160520434E-1
6.125946210E0,9.573683739E0,1.256531000E0,-5.500500798E-1
6.150946210E0,9.603593826E0,1.516301751E0,-5.979065299E-1
6.175946210E0,9.610772133E0,1.543819308E0,-6.447161436E-1
